Id,Solution
280,1
281,0
282,1
283,1
284,1
285,1
286,0
287,0
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,1
329,1
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,1
341,1
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,0
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,0
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,1
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,0
459,0
460,0
461,1
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,1
521,0
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,1
550,1
551,0
552,0
553,0
554,1
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,0
570,0
571,0
572,0
573,1
574,1
575,0
576,0
577,1
578,1
579,0
580,1
581,0
582,0
583,0
584,0
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,0
597,1
598,1
599,1
600,0
601,0
602,0
603,1
604,0
605,1
606,0
607,0
608,0
609,1
610,1
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,1
619,0
620,1
621,0
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,1
645,1
646,1
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,1
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,1
663,0
664,1
665,1
666,0
667,1
668,1
669,0
670,1
671,0
672,0
673,1
674,0
675,0
676,1
677,1
678,1
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,0
692,0
693,1
694,0
695,1
696,0
697,1
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,1
709,0
710,0
711,1
712,1
713,1
714,1
715,1
716,0
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,0
735,0
736,0
737,0
738,1
739,1
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,0
748,0
749,1
750,1
751,1
752,0
753,1
754,1
755,1
756,0
757,1
758,1
759,1
760,0
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,1
770,1
771,0
772,0
773,1
774,0
775,1
776,1
777,1
778,0
779,0
780,0
781,1
782,0
783,0
784,1
785,1
786,1
787,0
788,1
789,1
790,1
791,0
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,1
801,0
802,0
803,1
804,0
805,1
806,1
807,0
808,1
809,1
810,1
811,1
812,0
813,0
814,1
815,0
816,0
817,0
818,1
819,0
820,0
821,0
822,1
823,1
824,1
825,0
826,0
827,0
828,1
829,0
830,1
831,0
832,0
833,1
834,0
835,0
836,1
837,1
838,0
839,1
840,0
841,0
842,0
843,0
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,1
852,0
853,1
854,0
855,0
856,0
857,1
858,1
859,1
860,1
861,0
862,1
863,0
864,1
865,0
866,1
867,1
868,0
869,0
870,1
871,0
872,1
873,1
874,1
875,1
876,1
877,0
878,1
879,0
880,1
881,1
882,1
883,0
884,1
885,1
886,1
887,1
888,0
889,1
890,1
891,0
892,1
893,0
894,1
895,1
896,1
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,1
905,0
906,0
907,1
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,1
916,1
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,1
925,0
926,1
927,1
928,0
929,1
930,0
931,0
932,1
933,0
934,1
935,0
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,0
944,1
945,0
946,1
947,1
948,1
949,1
950,0
951,0
952,1
953,0
954,1
955,0
956,0
957,1
958,1
959,1
960,1
961,0
962,0
963,0
964,0
965,0
966,0
967,1
968,0
969,1
970,0
971,1
972,1
973,0
974,1
975,1
976,1
977,0
978,1
979,0
980,1
981,1
982,1
983,1
984,0
985,1
986,0
987,1
988,1
989,0
990,1
991,0
992,0
993,1
994,0
995,0
996,0
997,1
998,1
999,1
1000,0
1001,1
1002,0
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,0
1028,1
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,1
1050,1
1051,1
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,0
1059,0
1060,0
1061,0
1062,1
1063,1
1064,0
1065,1
1066,0
1067,1
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,1
1078,1
1079,0
1080,1
1081,0
1082,1
1083,1
1084,1
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,0
1095,1
1096,0
1097,1
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,1
1105,0
1106,1
1107,1
1108,1
1109,0
1110,0
1111,0
1112,1
1113,1
1114,1
1115,1
1116,1
1117,0
1118,0
1119,1
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,1
1129,0
1130,1
1131,1
1132,0
1133,0
1134,1
1135,0
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,0
1143,0
1144,0
1145,0
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,1
1153,1
1154,0
1155,1
1156,1
1157,1
1158,1
1159,0
1160,0
1161,0
1162,1
1163,1
1164,1
1165,0
1166,0
1167,1
1168,0
1169,1
1170,1
1171,1
1172,1
1173,1
1174,0
1175,1
1176,0
1177,0
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,1
1187,1
1188,0
1189,0
1190,1
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,0
1198,0
1199,1
1200,0
1201,1
1202,0
1203,1
1204,1
1205,0
1206,0
1207,1
1208,0
1209,1
1210,1
1211,0
1212,1
1213,1
1214,1
1215,1
1216,0
1217,0
1218,1
1219,1
1220,0
1221,1
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,1
1229,0
1230,0
1231,0
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,1
1240,0
1241,0
1242,1
1243,1
1244,1
1245,0
1246,1
1247,1
1248,0
1249,0
1250,1
1251,1
1252,0
1253,1
1254,0
1255,1
1256,1
1257,1
1258,0
1259,0
1260,0
1261,1
1262,1
1263,1
1264,0
1265,1
1266,0
1267,0
1268,1
1269,1
1270,1
1271,1
1272,0
1273,1
1274,1
1275,1
1276,1
1277,0
1278,0
1279,1
1280,1
1281,1
1282,1
1283,0
1284,0
1285,0
1286,1
1287,0
1288,0
1289,0
1290,1
1291,0
1292,0
1293,0
1294,1
1295,1
1296,1
1297,0
1298,0
1299,1
1300,0
1301,0
1302,0
1303,0
1304,1
1305,1
1306,1
1307,0
1308,0
1309,0
1310,0
1311,1
1312,0
1313,0
1314,1
1315,0
1316,0
1317,0
1318,0
1319,1
1320,0
1321,0
1322,1
1323,0
1324,1
1325,0
1326,1
1327,0
1328,1
1329,1
1330,0
1331,0
1332,1
1333,1
1334,1
1335,1
1336,0
1337,0
1338,1
1339,1
1340,1
1341,1
1342,1
1343,0
1344,0
1345,1
1346,1
1347,1
1348,0
1349,0
1350,1
1351,1
1352,1
1353,1
1354,0
1355,0
1356,0
1357,1
1358,1
1359,1
1360,0
1361,0
1362,1
1363,1
1364,1
1365,0
1366,1
1367,1
1368,0
1369,1
1370,1
1371,0
1372,0
1373,0
1374,1
1375,0
1376,1
1377,1
1378,0
1379,0
1380,0
1381,1
1382,1
1383,0
1384,1
1385,1
1386,0
1387,1
1388,0
1389,1
1390,1
1391,0
1392,1
1393,1
1394,1
1395,1
1396,0
1397,1
1398,0
1399,0
1400,0
1401,1
1402,1
1403,0
1404,1
1405,1
1406,1
1407,0
1408,1
1409,0
1410,0
1411,0
1412,0
1413,1
1414,1
1415,1
1416,1
1417,1
1418,0
1419,0
1420,0
1421,1
1422,1
1423,1
1424,0
1425,0
1426,1
1427,0
1428,0
1429,0
1430,1
1431,1
1432,0
1433,1
1434,0
1435,1
1436,0
1437,0
1438,1
1439,0
1440,1
1441,0
1442,1
1443,0
1444,1
1445,0
1446,0
1447,1
1448,0
1449,1
1450,0
1451,0
1452,0
1453,1
1454,0
1455,0
1456,1
1457,0
1458,1
1459,0
1460,0
1461,0
1462,1
1463,1
1464,1
1465,0
1466,1
1467,1
1468,0
1469,0
1470,1
1471,0
1472,0
1473,1
1474,0
1475,0
1476,0
1477,0
1478,1
1479,1
1480,1
1481,0
1482,1
1483,1
1484,0
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,0
1493,0
1494,1
1495,1
1496,0
1497,1
1498,0
1499,1
1500,1
1501,1
1502,0
1503,1
1504,1
1505,1
1506,1
1507,1
1508,0
1509,0
1510,0
1511,0
1512,0
1513,1
1514,1
1515,1
1516,0
1517,1
1518,1
1519,0
1520,1
1521,1
1522,0
1523,0
1524,1
1525,1
1526,0
1527,0
1528,0
1529,0
1530,1
1531,1
1532,0
1533,0
1534,1
1535,0
1536,1
1537,1
1538,0
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,1
1546,1
1547,1
1548,0
1549,1
1550,1
1551,1
1552,0
1553,1
1554,1
1555,0
1556,1
1557,1
1558,1
1559,0
1560,0
1561,0
1562,1
1563,0
1564,0
1565,0
1566,1
1567,1
1568,1
1569,1
1570,0
1571,0
1572,0
1573,1
1574,1
1575,0
1576,0
1577,1
1578,0
1579,0
1580,1
1581,1
1582,0
1583,0
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,0
1591,0
1592,0
1593,1
1594,1
1595,1
1596,1
1597,1
1598,0
1599,1
1600,1
1601,0
1602,0
1603,0
1604,0
1605,1
1606,0
1607,1
1608,1
1609,0
1610,0
1611,1
1612,1
1613,1
1614,1
1615,0
1616,0
1617,0
1618,1
1619,1
1620,1
1621,1
1622,0
1623,1
1624,1
1625,0
1626,0
1627,0
1628,0
1629,0
1630,1
1631,0
1632,0
1633,1
1634,1
1635,0
1636,0
1637,1
1638,1
1639,1
1640,1
1641,0
1642,1
1643,1
1644,0
1645,1
1646,1
1647,1
1648,1
1649,0
1650,0
1651,0
1652,0
1653,0
1654,0
1655,1
1656,0
1657,1
1658,0
1659,1
1660,1
1661,1
1662,0
1663,1
1664,0
1665,0
1666,0
1667,1
1668,1
1669,0
1670,1
1671,0
1672,0
1673,1
1674,1
1675,1
1676,0
1677,1
1678,1
1679,0
1680,1
1681,1
1682,1
1683,0
1684,0
1685,1
1686,0
1687,1
1688,1
1689,1
1690,0
1691,0
1692,1
1693,1
1694,1
1695,1
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,1
1706,1
1707,0
1708,0
1709,1
1710,1
1711,1
1712,0
1713,0
1714,1
1715,0
1716,0
1717,1
1718,1
1719,1
1720,0
1721,1
1722,0
1723,0
1724,0
1725,1
1726,1
1727,0
1728,1
1729,0
1730,1
1731,0
1732,1
1733,1
1734,1
1735,1
1736,1
1737,0
1738,0
1739,0
1740,0
1741,0
1742,1
1743,1
1744,1
1745,1
1746,0
1747,1
1748,1
1749,0
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,0
1759,1
1760,1
1761,1
1762,0
1763,0
1764,0
1765,1
1766,1
1767,1
1768,0
1769,1
1770,0
1771,1
1772,0
1773,1
1774,1
1775,0
1776,0
1777,1
1778,1
1779,1
1780,0
1781,1
1782,1
1783,1
1784,1
1785,0
1786,1
1787,1
1788,0
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,1
1797,0
1798,0
1799,1
1800,1
1801,1
1802,0
1803,0
1804,1
1805,0
1806,0
1807,1
1808,0
1809,1
1810,1
1811,0
1812,0
1813,0
1814,1
1815,1
1816,1
1817,0
1818,1
1819,1
1820,1
1821,0
1822,1
1823,1
1824,0
1825,1
1826,0
1827,0
1828,0
1829,1
1830,1
1831,1
1832,0
1833,0
1834,0
1835,1
1836,1
1837,0
1838,1
1839,1
1840,0
1841,1
1842,1
1843,0
1844,0
1845,0
1846,0
1847,0
1848,1
1849,1
1850,1
1851,1
1852,0
1853,1
1854,0
1855,0
1856,0
1857,1
1858,1
1859,0
1860,0
1861,1
1862,0
1863,0
1864,0
1865,1
1866,1
1867,0
1868,0
1869,0
1870,1
1871,0
1872,1
1873,0
1874,0
1875,0
1876,0
1877,1
1878,1
1879,0
1880,1
1881,0
1882,1
1883,1
1884,0
1885,0
1886,0
1887,0
1888,1
1889,1
1890,1
1891,1
1892,1
1893,0
1894,0
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,0
1903,1
1904,1
1905,1
1906,0
1907,1
1908,1
1909,1
1910,0
1911,1
1912,1
1913,0
1914,1
1915,0
1916,1
1917,1
1918,1
1919,0
1920,1
1921,1
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,1
1929,0
1930,0
1931,1
1932,0
1933,1
1934,0
1935,0
1936,1
1937,0
1938,1
1939,0
1940,1
1941,0
1942,0
1943,1
1944,0
1945,1
1946,0
1947,0
1948,0
1949,0
1950,0
1951,1
1952,1
1953,1
1954,0
1955,0
1956,0
1957,1
1958,1
1959,0
1960,1
1961,1
1962,0
1963,1
1964,0
1965,0
1966,1
1967,1
1968,0
1969,0
1970,0
1971,0
1972,1
1973,1
1974,1
1975,1
1976,0
1977,1
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,1
1985,1
1986,0
1987,1
1988,0
1989,1
1990,0
1991,0
1992,0
1993,1
1994,0
1995,0
1996,1
1997,1
1998,0
1999,0
2000,0
2001,1
2002,0
2003,0
2004,0
2005,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,1
2012,0
2013,0
2014,1
2015,0
2016,1
2017,1
2018,0
2019,0
2020,0
2021,0
2022,1
2023,0
2024,1
2025,0
2026,1
2027,1
2028,0
2029,1
2030,1
2031,0
2032,1
2033,0
2034,1
2035,1
2036,0
2037,1
2038,1
2039,1
2040,0
2041,0
2042,1
2043,1
2044,0
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,0
2052,0
2053,1
2054,1
2055,0
2056,1
2057,1
2058,0
2059,0
2060,1
2061,1
2062,0
2063,1
2064,1
2065,1
2066,1
2067,0
2068,0
2069,0
2070,0
2071,1
2072,0
2073,0
2074,0
2075,0
2076,1
2077,0
2078,0
2079,0
2080,0
2081,1
2082,1
2083,0
2084,1
2085,0
2086,0
2087,1
2088,0
2089,1
2090,0
2091,1
2092,1
2093,1
2094,1
2095,0
2096,0
2097,1
2098,0
2099,0
2100,1
2101,1
2102,1
2103,0
2104,0
2105,0
2106,0
2107,0
2108,1
2109,1
2110,0
2111,1
2112,0
2113,0
2114,0
2115,0
2116,1
2117,1
2118,0
2119,1
2120,0
2121,1
2122,0
2123,0
2124,1
2125,1
2126,1
2127,1
2128,0
2129,1
2130,0
2131,1
2132,1
2133,0
2134,0
2135,1
2136,0
2137,1
2138,1
2139,0
2140,0
2141,1
2142,0
2143,1
2144,0
2145,1
2146,0
2147,0
2148,0
2149,0
2150,1
2151,0
2152,0
2153,0
2154,0
2155,1
2156,0
2157,0
2158,1
2159,0
2160,0
2161,1
2162,1
2163,1
2164,0
2165,0
2166,0
2167,1
2168,0
2169,1
2170,0
2171,0
2172,1
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,1
2185,0
2186,0
2187,1
2188,1
2189,0
2190,0
2191,0
2192,0
2193,0
2194,1
2195,0
2196,1
2197,1
2198,1
2199,1
2200,0
2201,0
2202,1
2203,0
2204,1
2205,1
2206,0
2207,1
2208,0
2209,0
2210,0
2211,0
2212,0
2213,1
2214,0
2215,1
2216,1
2217,0
2218,0
2219,1
2220,1
2221,1
2222,0
2223,1
2224,1
2225,0
2226,0
2227,0
2228,1
2229,0
2230,1
2231,0
2232,0
2233,1
2234,0
2235,0
2236,0
2237,1
2238,1
2239,0
2240,1
2241,0
2242,1
2243,1
2244,1
2245,1
2246,0
2247,0
2248,0
2249,1
2250,0
2251,1
2252,1
2253,0
2254,1
2255,1
2256,1
2257,1
2258,0
2259,0
2260,0
2261,0
2262,0
2263,1
2264,1
2265,0
2266,1
2267,0
2268,0
2269,0
2270,1
2271,0
2272,0
2273,0
2274,1
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,1
2282,1
2283,0
2284,0
2285,1
2286,1
2287,0
2288,1
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,1
2296,0
2297,0
2298,0
2299,1
2300,1
2301,0
2302,0
2303,1
2304,0
2305,1
2306,0
2307,1
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,1
2320,0
2321,0
2322,1
2323,0
2324,0
2325,1
2326,0
2327,0
2328,0
2329,0
2330,1
2331,0
2332,1
2333,0
2334,0
2335,0
2336,0
2337,1
2338,1
2339,0
2340,0
2341,0
2342,1
2343,0
2344,0
2345,1
2346,0
2347,0
2348,0
2349,0
2350,0
2351,1
2352,1
2353,1
2354,0
2355,1
2356,1
2357,0
2358,0
2359,1
2360,0
2361,1
2362,0
2363,0
2364,1
2365,1
2366,0
2367,0
2368,0
2369,0
2370,0
2371,0
2372,1
2373,1
2374,0
2375,1
2376,1
2377,1
2378,0
2379,1
2380,0
2381,1
2382,1
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0
2389,1
2390,1
2391,0
2392,0
2393,0
2394,1
2395,0
2396,1
2397,1
2398,0
2399,0
2400,1
2401,1
2402,0
2403,0
2404,0
2405,1
2406,0
2407,0
2408,0
2409,1
2410,1
2411,1
2412,0
2413,0
2414,0
2415,1
2416,1
2417,0
2418,1
2419,1
2420,0
2421,1
2422,1
2423,0
2424,1
2425,1
2426,1
2427,0
2428,0
2429,0
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,0
2437,0
2438,1
2439,1
2440,1
2441,1
2442,1
2443,1
2444,1
2445,0
2446,1
2447,1
2448,0
2449,1
2450,1
2451,1
2452,1
2453,1
2454,1
2455,1
2456,1
2457,0
2458,1
2459,1
2460,1
2461,1
2462,1
2463,0
2464,0
2465,0
2466,1
2467,0
2468,1
2469,1
2470,1
2471,1
2472,0
2473,1
2474,0
2475,0
2476,0
2477,0
2478,1
2479,1
2480,0
2481,1
2482,0
2483,1
2484,0
2485,1
2486,1
2487,0
2488,1
2489,0
2490,1
2491,1
2492,1
2493,1
2494,1
2495,0
2496,0
2497,1
2498,1
2499,1
2500,1
2501,0
2502,1
2503,1
2504,0
2505,1
2506,0
2507,1
2508,1
2509,0
2510,0
2511,0
2512,1
2513,0
2514,0
2515,0
2516,1
2517,1
2518,0
2519,1
2520,0
2521,1
2522,1
2523,0
2524,0
2525,1
2526,0
2527,0
2528,0
2529,1
2530,0
2531,0
2532,1
2533,1
2534,0
2535,0
2536,1
2537,1
2538,0
2539,1
2540,0
2541,1
2542,0
2543,1
2544,1
2545,1
2546,1
2547,0
2548,0
2549,0
2550,0
2551,1
2552,1
2553,1
2554,0
2555,1
2556,0
2557,0
2558,1
2559,0
2560,0
2561,0
2562,1
2563,1
2564,0
2565,0
2566,0
2567,1
2568,0
2569,1
2570,0
2571,0
2572,1
2573,0
2574,1
2575,0
2576,0
2577,1
2578,0
2579,1
2580,1
2581,1
2582,0
2583,1
2584,1
2585,1
2586,0
2587,1
2588,0
2589,0
2590,1
2591,1
2592,0
2593,0
2594,0
2595,1
2596,1
2597,1
2598,0
2599,1
2600,1
2601,1
2602,1
2603,1
2604,0
2605,0
2606,1
2607,1
2608,1
2609,1
2610,1
2611,0
2612,0
2613,1
2614,1
2615,1
2616,0
2617,0
2618,0
2619,0
2620,1
2621,1
2622,1
2623,1
2624,0
2625,1
2626,0
2627,0
2628,1
2629,1
2630,0
2631,1
2632,1
2633,1
2634,1
2635,0
2636,1
2637,0
2638,0
2639,0
2640,1
2641,1
2642,0
2643,1
2644,1
2645,1
2646,0
2647,0
2648,0
2649,1
2650,1
2651,0
2652,1
2653,1
2654,1
2655,0
2656,1
2657,1
2658,1
2659,0
2660,1
2661,1
2662,1
2663,1
2664,0
2665,0
2666,0
2667,1
2668,1
2669,1
2670,1
2671,0
2672,1
2673,1
2674,1
2675,0
2676,0
2677,1
2678,0
2679,1
2680,1
2681,0
2682,0
2683,0
2684,0
2685,0
2686,1
2687,0
2688,1
2689,0
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,0
2698,0
2699,1
2700,0
2701,1
2702,0
2703,0
2704,1
2705,0
2706,0
2707,1
2708,1
2709,1
2710,1
2711,0
2712,0
2713,1
2714,0
2715,0
2716,0
2717,1
2718,1
2719,0
2720,0
2721,0
2722,1
2723,1
2724,1
2725,1
2726,1
2727,1
2728,0
2729,0
2730,1
2731,0
2732,1
2733,1
2734,0
2735,0
2736,0
2737,1
2738,0
2739,0
2740,1
2741,0
2742,0
2743,0
2744,1
2745,0
2746,0
2747,1
2748,0
2749,1
2750,0
2751,0
2752,1
2753,1
2754,1
2755,1
2756,0
2757,1
2758,0
2759,0
2760,0
2761,0
2762,1
2763,1
2764,0
2765,0
2766,1
2767,0
2768,1
2769,0
2770,0
2771,0
2772,1
2773,0
2774,0
2775,0
2776,0
2777,1
2778,1
2779,0
2780,1
2781,0
2782,0
2783,0
2784,0
2785,0
2786,0
2787,1
2788,1
2789,1
2790,0
2791,1
2792,0
2793,1
2794,0
2795,0
2796,1
2797,1
2798,1
2799,0
2800,1
2801,1
2802,1
2803,0
2804,0
2805,0
2806,0
2807,1
2808,1
2809,0
2810,1
2811,0
2812,0
2813,1
2814,0
2815,0
2816,0
2817,1
2818,0
2819,1
2820,1
2821,0
2822,1
2823,0
2824,0
2825,1
2826,1
2827,0
2828,0
2829,0
2830,0
2831,1
2832,0
2833,0
2834,1
2835,0
2836,1
2837,1
2838,0
2839,1
2840,0
2841,0
2842,0
2843,0
2844,0
2845,0
2846,0
2847,0
2848,0
2849,0
2850,1
2851,0
2852,1
2853,0
2854,0
2855,1
2856,0
2857,1
2858,1
2859,0
2860,1
2861,1
2862,1
2863,0
2864,0
2865,0
2866,1
2867,1
2868,0
2869,0
2870,0
2871,0
2872,0
2873,1
2874,1
2875,1
2876,0
2877,1
2878,0
2879,0
2880,0
2881,1
2882,1
2883,0
2884,1
2885,0
2886,0
2887,1
2888,1
2889,1
2890,1
2891,1
2892,0
2893,0
2894,0
2895,1
2896,1
2897,1
2898,0
2899,1
2900,1
2901,1
2902,0
2903,0
2904,1
2905,0
2906,1
2907,0
2908,1
2909,1
2910,1
2911,1
2912,0
2913,1
2914,1
2915,0
2916,0
2917,0
2918,0
2919,0
2920,0
2921,0
2922,1
2923,1
2924,1
2925,0
2926,0
2927,0
2928,1
2929,0
2930,0
2931,1
2932,0
2933,0
2934,0
2935,1
2936,0
2937,0
2938,1
2939,0
2940,1
2941,1
2942,0
2943,0
2944,0
2945,0
2946,0
2947,1
2948,0
2949,1
2950,0
2951,0
2952,0
2953,1
2954,0
2955,0
2956,1
2957,1
2958,0
2959,1
2960,1
2961,0
2962,0
2963,0
2964,0
2965,1
2966,1
2967,1
2968,1
2969,0
2970,0
2971,0
2972,0
2973,1
2974,0
2975,0
2976,1
2977,0
2978,0
2979,1
2980,1
2981,1
2982,0
2983,0
2984,1
2985,0
2986,0
2987,1
2988,0
2989,0
2990,0
2991,1
2992,1
2993,0
2994,1
2995,0
2996,1
2997,0
